frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags
"1784065135.399439422","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065135.816364620","4.150.223.111","172.18.203.227","443","37180","68","0x0010"
"1784065135.816383077","172.18.203.227","4.150.223.111","37180","443","68","0x0010"
"1784065135.969956168","127.0.0.1","127.0.0.1","57668","34719","130","0x0018"
"1784065135.971297748","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065135.971314177","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065136.238785464","127.0.0.1","127.0.0.1","57668","34719","148","0x0018"
"1784065136.240190164","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065136.240208625","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065136.270665125","127.0.0.1","127.0.0.1","57668","34719","145","0x0018"
"1784065136.272056804","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065136.300969919","127.0.0.1","127.0.0.1","34719","57662","154","0x0018"
"1784065136.300996425","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065136.303629058","127.0.0.1","127.0.0.1","57668","34719","182","0x0018"
"1784065136.305030327","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065136.335652259","127.0.0.1","127.0.0.1","57668","34719","172","0x0018"
"1784065136.337195030","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065136.370361606","127.0.0.1","127.0.0.1","57668","34719","186","0x0018"
"1784065136.371738936","127.0.0.1","127.0.0.1","34719","57668","142","0x0018"
"1784065136.415575662","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065136.861695345","127.0.0.1","127.0.0.1","57662","34719","601","0x0018"
"1784065136.863351888","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784065136.863367714","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065137.062475561","127.0.0.1","127.0.0.1","57662","34719","127","0x0018"
"1784065137.062475699","127.0.0.1","127.0.0.1","57668","34719","128","0x0018"
"1784065137.064018600","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065137.064037167","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065137.064083307","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784065137.064108280","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065137.069906553","127.0.0.1","127.0.0.1","34719","57662","173","0x0018"
"1784065137.069929747","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065137.077239809","127.0.0.1","127.0.0.1","57668","34719","192","0x0018"
"1784065137.078602841","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065137.119527055","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065137.292656168","127.0.0.1","127.0.0.1","34719","57668","340","0x0018"
"1784065137.292675696","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065137.294428393","127.0.0.1","127.0.0.1","57668","34719","182","0x0018"
"1784065137.313011785","127.0.0.1","127.0.0.1","34719","57668","226","0x0018"
"1784065137.313510646","127.0.0.1","127.0.0.1","34719","57668","133","0x0018"
"1784065137.313593101","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065137.314465036","127.0.0.1","127.0.0.1","34719","57668","6247","0x0018"
"1784065137.314800788","127.0.0.1","127.0.0.1","57668","34719","188","0x0018"
"1784065137.319317776","127.0.0.1","127.0.0.1","57662","34719","1056","0x0018"
"1784065137.320893855","127.0.0.1","127.0.0.1","34719","57662","114","0x0018"
"1784065137.320915814","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065137.359431057","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065137.359446858","127.0.0.1","127.0.0.1","57668","34719","5196","0x0018"
"1784065137.359466034","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065137.361552640","127.0.0.1","127.0.0.1","34719","57668","2408","0x0018"
"1784065137.403510787","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065137.417073632","127.0.0.1","127.0.0.1","34719","57668","1177","0x0018"
"1784065137.417119386","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
